id,model,specs,rating,votes,service_rating,price,price_discount,url
829ba653-24bd-11ec-8ef9-00155d8ed20b,"13.3"" Ноутбук Irbis NB77 черный",HD (1366x768); TN+film; Intel Atom Z3735F; ядра: 4 х 1.33 ГГц; RAM 2 ГБ; eMMC 32 ГБ; Intel HD Graphics; Windows 10 Home Single Language,3.5,89,93.11,14999,14999,https://www.dns-shop.ru/product/829ba65324bded20/133-noutbuk-irbis-nb77-cernyj/
9f667bf1-03fd-11ed-8feb-00155d8ed209,"15.6"" Ноутбук ASUS ExpertBook P1 P1512CEA-BQ0164 серый",Full HD (1920x1080); TN+film; Intel Core i3-1115G4; ядра: 2 х 3 ГГц; RAM 8 ГБ; SSD 512 ГБ; Intel UHD Graphics; без ОС,5.0,3,100.0,44999,44999,https://www.dns-shop.ru/product/9f667bf103fded20/156-noutbuk-asus-expertbook-p1-p1512cea-bq0164-seryj/
eeb1d6ac-0f7b-11ec-8ede-00155d8ed20b,"15.6"" Ноутбук ASUS VivoBook 15 F513EA-BQ2372 черный",Full HD (1920x1080); IPS; Intel Core i3-1115G4; ядра: 2 х 3 ГГц; RAM 8 ГБ; SSD 512 ГБ; Intel UHD Graphics; без ОС,4.5,24,99.77,44999,44999,https://www.dns-shop.ru/product/eeb1d6ac0f7bed20/156-noutbuk-asus-vivobook-15-f513ea-bq2372-cernyj/
f6d477a0-0f7b-11ec-8ede-00155d8ed20b,"15.6"" Ноутбук ASUS VivoBook 15 F513EA-BQ2396W черный",Full HD (1920x1080); IPS; Intel Core i3-1115G4; ядра: 2 х 3 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel UHD Graphics; Windows 11 Home Single Language,4.0,9,98.9,44999,44999,https://www.dns-shop.ru/product/f6d477a00f7bed20/156-noutbuk-asus-vivobook-15-f513ea-bq2396w-cernyj/
fed92d69-0f7b-11ec-8ede-00155d8ed20b,"15.6"" Ноутбук ASUS VivoBook 15 F513EA-BQ2398 синий",Full HD (1920x1080); IPS; Intel Core i3-1115G4; ядра: 2 х 3 ГГц; RAM 8 ГБ; SSD 512 ГБ; Intel UHD Graphics; без ОС,0.0,0,0.0,44999,44999,https://www.dns-shop.ru/product/fed92d690f7bed20/156-noutbuk-asus-vivobook-15-f513ea-bq2398-sinij/
73a927a7-78f0-11ec-8f62-00155d8ed20b,"15.6"" Ноутбук Acer Aspire 3 A315-23-R3ZB черный",Full HD (1920x1080); IPS; AMD Ryzen 5 3500U; ядра: 4 х 2.1 ГГц; RAM 8 ГБ; SSD 256 ГБ; AMD Radeon Graphics; без ОС,4.5,80,99.28,44999,44999,https://www.dns-shop.ru/product/73a927a778f0ed20/156-noutbuk-acer-aspire-3-a315-23-r3zb-cernyj/
c1d19c1b-b392-11eb-a22b-00155d42eb09,"15.6"" Ноутбук Acer Extensa 15EX215-22-R842 черный",Full HD (1920x1080); TN+film; AMD Ryzen 5 3500U; ядра: 4 х 2.1 ГГц; RAM 8 ГБ; SSD 256 ГБ; AMD Radeon Vega 8; без ОС,4.5,16,99.51,44999,44999,https://www.dns-shop.ru/product/c1d19c1bb3922eb0/156-noutbuk-acer-extensa-15ex215-22-r842-cernyj/
93c0d79b-1463-11ed-8ffb-00155d8ed20b,"15.6"" Ноутбук Chuwi CoreBook XPro серый",Full HD (1920x1080); IPS; Intel Core i5-10210U; ядра: 4 х 1.6 ГГц; RAM 8 ГБ; SSD 512 ГБ; Intel UHD Graphics; Windows 11 Home Single Language,4.0,5,98.72,44999,44999,https://www.dns-shop.ru/product/93c0d79b1463ed20/156-noutbuk-chuwi-corebook-xpro-seryj/
c3602a99-38af-11ed-9020-00155d8ed20b,"15.6"" Ноутбук HP 250 G8 серебристый",Full HD (1920x1080); IPS; Intel Core i3-1115G4; ядра: 2 х 3 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel HD Graphics; без ОС,0.0,0,0.0,44999,44999,https://www.dns-shop.ru/product/c3602a9938afed20/156-noutbuk-hp-250-g8-serebristyj/
e2d136f8-fda7-11ec-8fe5-00155d8ed20b,"15.6"" Ноутбук Lenovo IdeaPad 3 15ITL6 серебристый",Full HD (1920x1080); TN+film; Intel Core i5-1135G7; ядра: 4 х 2.4 ГГц; RAM 8 ГБ; HDD 1000 ГБ; GeForce MX350 2 ГБ; без ОС,4.5,20,98.5,49999,44999,https://www.dns-shop.ru/product/e2d136f8fda7ed20/156-noutbuk-lenovo-ideapad-3-15itl6-serebristyj/
e2461115-eba7-11ec-8fd3-00155d8ed20b,"15.6"" Ноутбук MSI Modern 15 B5M-002RU черный",Full HD (1920x1080); IPS; AMD Ryzen 5 5625U; ядра: 6 х 2.3 ГГц; RAM 8 ГБ; SSD 256 ГБ; AMD Radeon Graphics; Windows 11 Home Single Language,4.5,78,99.77,52999,44999,https://www.dns-shop.ru/product/e2461115eba7ed20/156-noutbuk-msi-modern-15-b5m-002ru-cernyj/
