id,rating,votes,service_rating,price,price_discount,url,Гарантия от производителя,Тип,Модель,Код производителя,Год релиза,Операционная система,Игровой ноутбук,Конструктивное исполнение,Цвет верхней крышки,Материал крышки,Материал корпуса,Раскладка клавиатуры,Цифровой блок клавиатуры,Подсветка клавиш,Тачпад,Сканер отпечатка пальца,Механическая клавиатура,Тип экрана,Диагональ экрана (дюйм),Разрешение экрана,Покрытие экрана,Сенсорный экран,Максимальная частота обновления экрана,Яркость,Плотность пикселей,Технология динамического обновления экрана,Модель процессора,Общее количество ядер,Количество производительных ядер,Количество энергоэффективных ядер,Максимальное число потоков,Частота процессора,Автоматическое увеличение частоты,Тип оперативной памяти,Объем оперативной памяти,Частота оперативной памяти,Вид графического ускорителя,Модель встроенной видеокарты,Модель дискретной видеокарты,Общий объем твердотельных накопителей (SSD),Общий объем жестких дисков (HDD),Объем накопителя eMMC,Веб-камера,Встроенный микрофон,Поддержка карт памяти кард-ридером,Оптический привод,Беспроводной интерфейс,Порт Ethernet,Видеоразъемы,Аудиоразъемы,Разъемы USB Type-A,Разъемы USB Type-C,Дополнительные интерфейсы,Thunderbolt,Поддержка USB Power Delivery,Тип аккумулятора,Емкость аккумулятора,Приблизительное время автономной работы,"Особенности, дополнительно",Комплектация,Глубина,Ширина,Толщина,Вес,Страна-производитель,Количество слотов под модули памяти,Максимальный объем памяти,Свободные слоты для оперативной памяти,Дополнительный дисплей,Версия видеоразъема,"Цвет, заявленный производителем",Поддержка TPM,Тип SSD диска,Гарантия от продавца,Цветовой охват,Выходная мощность адаптера питания,Скорость вращения шпинделя,Производитель видеочипа,Тип видеопамяти,Объем видеопамяти,Тактовая частота с ускорением,Расширенные возможности,HDR,Максимальное энергопотребление
9847e011-097d-11ed-8ff1-00155d8ed20b,4.0,122,97.56,109999,79199,https://www.dns-shop.ru/product/9847e011097ded20/156-noutbuk-maibenben-x568-cernyj/,12 мес.,ноутбук,Maibenben X568,[X568-3060],2022,Linux,да,классический,черный,магниевый сплав,магниевый сплав,английская/русская,нет,RGB,стандартный тачпад,нет,есть,IPS,"15.6""",Quad HD 2K (2560x1440),,нет,165 Гц,,188 ppi,,Intel Core i7-11800H,8,8,нет,16,2.3 ГГц,4.6 ГГц,DDR4,16 ГБ,3200 МГц,дискретный и встроенный,Intel UHD Graphics,GeForce RTX 3060 для ноутбуков,512 ГБ,нет,нет,1 Мп (720p),есть,SD,нет,"WI-FI 6 (802.11ax), Bluetooth 5.2",LAN 2.5 Гбит/с,"HDMI, USB Type-C",3.5 мм jack (микрофон/аудио),USB 3.2 Gen2 x3,USB4,,Thunderbolt 4,нет,Li-Pol,8200 мА*ч,12 ч,,"документация, адаптер питания",233.8 мм,356.4 мм,20.5 мм,1.93 кг,,2,64 ГБ,,нет,HDMI 2.1,Black,есть,M.2 PCIe,,sRGB 100%,230 Вт,,NVIDIA,GDDR6,6 ГБ,,,,115 Вт
1e07a6a2-1c3f-11ed-9003-00155d8ed209,4.5,19,99.88,87999,79199,https://www.dns-shop.ru/product/1e07a6a21c3fed20/173-noutbuk-msi-katana-gf76-12uc-257xru-cernyj/,12 мес.,ноутбук,MSI Katana GF76 12UC-257XRU,[9S7-17L422-257],2022,без ОС,да,классический,черный,пластик,пластик,английская/русская,есть,одноцветная (красная),стандартный тачпад,нет,нет,IPS,"17.3""",Full HD (1920x1080),матовое,нет,144 Гц,,127 ppi,нет,Intel Core i7-12650H,10,6,4,16,,4.7 ГГц,DDR4,16 ГБ,3200 МГц,дискретный и встроенный,Intel UHD Graphics,GeForce RTX 3050 для ноутбуков,512 ГБ,нет,нет,1 Мп (720p),есть,нет,нет,"WI-FI 6 (802.11ax), Bluetooth 5.2",LAN 1 Гбит/с,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",USB 3.2 Gen1,нет,нет,нет,Li-Ion,53.5 Вт*ч,5.5 ч,,"документация, адаптер питания",273 мм,398 мм,25.2 мм,2.6 кг,,2,64 ГБ,,нет,HDMI 2.1,,есть,M.2 PCIe,,,180 Вт,,NVIDIA,GDDR6,4 ГБ,1550 МГц,,,60 Вт
450e575d-1c3f-11ed-9003-00155d8ed209,5.0,27,99.7,87999,79199,https://www.dns-shop.ru/product/450e575d1c3fed20/173-noutbuk-msi-katana-gf76-12uc-258ru-cernyj/,12 мес.,ноутбук,MSI Katana GF76 12UC-258RU,[9S7-17L422-258],2022,Windows 11 Home Single Language,да,классический,черный,пластик,пластик,английская/русская,есть,одноцветная (красная),стандартный тачпад,нет,нет,IPS,"17.3""",Full HD (1920x1080),матовое,нет,144 Гц,,127 ppi,нет,Intel Core i5-12450H,8,4,4,12,,4.4 ГГц,DDR4,16 ГБ,3200 МГц,дискретный и встроенный,Intel UHD Graphics,GeForce RTX 3050 для ноутбуков,512 ГБ,нет,нет,1 Мп (720p),есть,нет,нет,"WI-FI 6 (802.11ax), Bluetooth 5.2",LAN 1 Гбит/с,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",USB 3.2 Gen1,нет,нет,нет,Li-Ion,53.5 Вт*ч,5.5 ч,,"документация, адаптер питания",273 мм,398 мм,25.2 мм,2.6 кг,,2,64 ГБ,,нет,HDMI 2.1,,есть,M.2 PCIe,,,180 Вт,,NVIDIA,GDDR6,4 ГБ,1550 МГц,,,60 Вт
4657e961-c941-4048-8f30-2316b81a44dc,0.0,0,0.0,79499,79499,https://www.dns-shop.ru/product/4657e961c941a44d/156-noutbuk-lenovo-thinkbook-15-gen-2-seryj/,12 мес.,ноутбук,Lenovo ThinkBook 15 Gen 2,[20VE00UBRU],2021,Windows 11 Pro,нет,классический,серый,алюминий,пластик,английская/русская,есть,одноцветная (белая),стандартный тачпад,есть,нет,IPS,"15.6""",Full HD (1920x1080),матовое,нет,60 Гц,300 Кд/м²,141 ppi,нет,Intel Core i3-1115G4,2,2,нет,4,3 ГГц,4.1 ГГц,DDR4,8 ГБ,3200 МГц,встроенный,Intel UHD Graphics,нет,256 ГБ,нет,нет,1 Мп (720p),есть,"SD, MMC",нет,"WI-FI 6 (802.11ax), Bluetooth 5.1",LAN 1 Гбит/с,"HDMI, USB Type-C x2",3.5 мм jack (микрофон/аудио),USB 3.2 Gen1 x2,"USB 3.2 Gen2, USB4",нет,Thunderbolt 4,есть,Li-Pol,45 Вт*ч,6 ч,,"документация, адаптер питания",235 мм,357 мм,18.9 мм,1.7 кг,,интегрированная + 1 слот,40 ГБ,1,нет,"HDMI 1.4, DP 1.4",,есть,M.2 PCIe,,NTSC 45%,65 Вт,,,,,,,,
3581d3dc-44ad-412f-8faa-6587dbafedfc,0.0,0,0.0,79799,79799,https://www.dns-shop.ru/product/3581d3dc44adfedf/14-noutbuk-asus-vivobook-pro-14-oled-m3401qa-km113-serebristyj/,12 мес.,ноутбук,ASUS VivoBook PRO 14 OLED M3401QA-KM113,[90NB0VZ3-M002V0],2021,без ОС,нет,классический,серебристый,алюминий,пластик,английская/русская,нет,одноцветная (белая),стандартный тачпад,есть,нет,OLED,"14""",2880x1800,глянцевое,нет,90 Гц,600 Кд/м²,243 ppi,нет,AMD Ryzen 5 5600H,6,6,нет,12,3.3 ГГц,4.2 ГГц,DDR4,8 ГБ,3200 МГц,встроенный,AMD Radeon Graphics,нет,256 ГБ,нет,нет,1 Мп (720p),есть,microSD,нет,"WI-FI 6 (802.11ax), Bluetooth 5.0",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",USB 3.2 Gen1,нет,нет,нет,Li-Ion,63 Вт*ч,,шторка веб-камеры,"документация, адаптер питания",228.5 мм,317.4 мм,19.2 мм,1.4 кг,,интегрированная,8 ГБ,нет,нет,HDMI 1.4,,есть,M.2 PCIe,,DCI-P3 100%,90 Вт,,,,,,сертификат Pantone Validated,VESA DisplayHDR 600 True Black,
76f2fd19-16c4-11ed-8ffd-00155d8ed20c,5.0,1,0.0,79999,79999,https://www.dns-shop.ru/product/76f2fd1916c4ed20/156-noutbuk-asus-tuf-gaming-a15-fa506icb-hn105w-cernyj/,,ноутбук,ASUS TUF Gaming A15 FA506ICB-HN105W,[90NR0667-M00CS0],2022,Windows 11 Home Single Language,да,классический,черный,пластик,пластик,английская,есть,RGB,стандартный тачпад,нет,нет,IPS,"15.6""",Full HD (1920x1080),матовое,нет,144 Гц,250 Кд/м²,141 ppi,Adaptive-Sync,AMD Ryzen 5 4600H,6,6,нет,12,3 ГГц,4 ГГц,DDR4,8 ГБ,3200 МГц,дискретный и встроенный,AMD Radeon Graphics,GeForce RTX 3050 для ноутбуков,512 ГБ,нет,нет,1 Мп (720p),есть,нет,нет,"WI-FI 6 (802.11ax), Bluetooth 5.2",LAN 1 Гбит/с,HDMI,3.5 мм jack (микрофон/аудио),USB 3.2 Gen1 x3,USB 3.2 Gen2,нет,нет,нет,Li-Ion,,4.5 ч,,"документация, адаптер питания",256 мм,359 мм,24.5 мм,2.3 кг,,2,32 ГБ,1,нет,HDMI 2.0b,,есть,M.2 PCIe,12 мес.,"NTSC 45%, AdobeRGB 47%, sRGB 63%",180 Вт,,NVIDIA,GDDR6,4 ГБ,1600 МГц,,,60 Вт
72536e0d-89b0-11ec-a28c-00155dd2ff41,5.0,1,0.0,79999,79999,https://www.dns-shop.ru/product/72536e0d89b02ff4/156-noutbuk-asus-tuf-gaming-f15-fx506hcb-hn161-seryj/,,ноутбук,ASUS TUF Gaming F15 FX506HCB-HN161,[90NR0723-M04860],2021,без ОС,да,классический,серый,пластик,пластик,английская/русская,есть,RGB,стандартный тачпад,нет,нет,IPS,"15.6""",Full HD (1920x1080),матовое,нет,144 Гц,250 Кд/м²,141 ppi,Adaptive-Sync,Intel Core i5-11400H,6,6,нет,12,2.7 ГГц,4.5 ГГц,DDR4,16 ГБ,3200 МГц,дискретный и встроенный,Intel UHD Graphics,GeForce RTX 3050 для ноутбуков,512 ГБ,нет,нет,1 Мп (720p),есть,нет,нет,WI-FI 6 (802.11ax),LAN 1 Гбит/с,"HDMI, USB Type-C",3.5 мм jack (микрофон/аудио),USB 3.2 Gen1 x3,нет,,нет,нет,Li-Ion,48 Вт*ч,,,"документация, адаптер питания",256 мм,359 мм,25 мм,2.3 кг,,2,32 ГБ,,нет,HDMI 2.0b,,,M.2 PCIe,12 мес.,"NTSC 45%, AdobeRGB 47%, sRGB 63%",180 Вт,,NVIDIA,GDDR6,4 ГБ,1600 МГц,"технология Dynamic Boost 2.0, технология WhisperMode 2.0, технология Resizable BAR, технология DLSS",,75 Вт
74333b84-7a7e-11ec-8f65-00155d8ed20c,0.0,0,0.0,79999,79999,https://www.dns-shop.ru/product/74333b847a7eed20/156-noutbuk-asus-vivobook-s15-s533ea-bn417w-krasnyj/,,ноутбук,ASUS VivoBook S15 S533EA-BN417W,[90NB0SF2-M002X0],2021,Windows 11 Home Single Language,нет,классический,красный,алюминий,алюминий,английская/русская,есть,одноцветная (белая),стандартный тачпад,,нет,IPS,"15.6""",Full HD (1920x1080),матовое,нет,60 Гц,250 Кд/м²,141 ppi,нет,Intel Core i7-1165G7,4,4,нет,8,2.8 ГГц,4.7 ГГц,DDR4,16 ГБ,3200 МГц,встроенный,Intel Iris Xe Graphics,нет,512 ГБ,нет,нет,1 Мп (720p),есть,microSD,нет,"WI-FI 6 (802.11ax), Bluetooth 5.0",нет,"HDMI, USB Type-C",3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",USB 3.2 Gen1,нет,Thunderbolt 4,есть,Li-Pol,50 Вт*ч,4.5 ч,,"документация, адаптер питания",233.8 мм,359.8 мм,16.1 мм,1.8 кг,,интегрированная,16 ГБ,нет,,HDMI 1.4,,есть,M.2 PCIe,12 мес.,NTSC 45%,65 Вт,,,,,,,,
a5439e4f-7a7f-11ec-8f65-00155d8ed20c,0.0,0,0.0,79999,79999,https://www.dns-shop.ru/product/a5439e4f7a7fed20/156-noutbuk-asus-vivobook-s15-s533ea-bn421w-belyj/,,ноутбук,ASUS VivoBook S15 S533EA-BN421W,[90NB0SF4-M003B0],2022,Windows 11 Home Single Language,нет,классический,белый,алюминий,алюминий,английская/русская,есть,одноцветная (белая),стандартный тачпад,нет,нет,IPS,"15.6""",Full HD (1920x1080),матовое,нет,60 Гц,300 Кд/м²,141 ppi,нет,Intel Core i7-1165G7,4,4,нет,8,2.8 ГГц,4.7 ГГц,DDR4,16 ГБ,3200 МГц,встроенный,Intel Iris Xe Graphics,нет,512 ГБ,нет,нет,1 Мп (720p),есть,microSD,нет,"WI-FI 5 (802.11ac), Bluetooth 4.1",нет,"HDMI, USB Type-C",3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",,нет,Thunderbolt 4,есть,Li-Pol,50 Вт*ч,4.5 ч,,"документация, адаптер питания",233.8 мм,359.8 мм,16.1 мм,1.8 кг,,интегрированная,16 ГБ,нет,,HDMI 1.4,Dreamy White,есть,M.2 PCIe,12 мес.,sRGB 100%,65 Вт,,,,,,,,
fecd446e-4519-11ed-9030-00155d8ed20c,4.5,25,98.52,89999,79999,https://www.dns-shop.ru/product/fecd446e4519ed20/156-noutbuk-acer-aspire-7-a715-42g-r44j-cernyj/,12 мес.,ноутбук,Acer Aspire 7 A715-42G-R44J,[NH.QDLER.004],2021,Windows 11 Home,да,классический,черный,пластик,пластик,английская/русская,есть,одноцветная (белая),стандартный тачпад,есть,нет,IPS,"15.6""",Full HD (1920x1080),матовое,нет,144 Гц,250 Кд/м²,141 ppi,нет,AMD Ryzen 5 5500U,6,6,нет,12,2.1 ГГц,4 ГГц,DDR4,8 ГБ,3200 МГц,дискретный и встроенный,AMD Radeon Graphics,GeForce RTX 3050 Ti для ноутбуков,512 ГБ,нет,нет,1 Мп (720p),есть,нет,нет,"WI-FI 6 (802.11ax), Bluetooth 4.1",LAN 1 Гбит/с,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",USB 3.2 Gen1,нет,нет,нет,Li-Ion,48 Вт*ч,10 ч,,"документация, адаптер питания",254.5 мм,363.4 мм,22.9 мм,2.15 кг,,2,32 ГБ,,нет,HDMI 2.0b,,есть,M.2 PCIe,,NTSC 45%,135 Вт,,NVIDIA,GDDR6,4 ГБ,,,,
