rating,votes,service_rating,price,price_discount,warranty,type,model_id,release_year,operating_system,game_notebook,cover_color,cover_material,body_material,touchpad,fingerprint,mech_keyboard,screen_type,screen_size,screen_res,screen_coat,screen_sensor,screen_frec,screen_bright,screen_ppi,screen_sync,cpu_model,cpu_core,cpu_core_productive,cpu_core_effective,cpu_thread,cpu_freq,cpu_accelerated,ram_type,ram_capacity,ram_freq,gpu_model_int,gpu_model_disc,ssd_volume,hdd_volume,emmc_volume,webcam,card_type,ethernet_port,video_port,audio_port,usb_type_a,usb_type_c,additional_interfaces,thunderbolt,usb_power_delivery,acc_type,acc_capacity,acc_time,depth,width,height,weight,ram_slots,ram_max_volume,ram_free_slot,second_display,video_port_type,tpm_support,ssd_type,seller_warranty,screen_color_depth,adapter_output_power,gpu_manufacturer,video_type,gddr_volume,freq_with_acc,screen_hdr,power_consumption_max,discount,percentage_discount,brand,model_name,transformer,ru_keyboard,keyboard_backlight_type,cpu_vendor,discrete_gpu,gpu_vendor_disc,card_slot_mmc_support,card_slot_type,wifi,bluetooth,cellular,ethernet_port_speed
5.0,6,98.46,27999,27999,12,ноутбук,3D4V8EA,2020,без ОС,False,серый,пластик,пластик,стандартный тачпад,False,False,IPS,15.6,Full HD (1920x1080),матовое,False,60.0,250.0,141.0,нет,Celeron N4020,2.0,2,0,2,1.1,2.8,DDR4,4,2400.0,Intel UHD Graphics 600,,128,0,0,1.0,SD,False,HDMI,3.5 мм jack (микрофон/аудио),USB 3.2 Gen1 x2,USB 3.2 Gen1,нет,нет,False,Li-Ion,41.0,10.0,242.0,358.5,17.9,1.65,1,8,нет,,HDMI 1.4b,,SATA,,NTSC 45%,45,,,,,,,0,0.0,HP,15s-fq0082ur,False,True,,Intel,False,,False,SD,WI-FI 5 (802.11ac), Bluetooth 4.2,,
4.5,10,98.57,27999,27999,12,ноутбук,27K08EA,2021,без ОС,False,серый,пластик,пластик,стандартный тачпад,False,False,TN,15.6,HD (1366x768),матовое,False,60.0,250.0,100.0,нет,Celeron N4020,2.0,2,0,2,1.1,2.8,DDR4,4,2400.0,Intel UHD Graphics,,0,500,0,1.0,SD,True,HDMI,3.5 мм jack (микрофон/аудио),USB 3.2 Gen1 x2,USB 3.2 Gen1,,нет,False,Li-Ion,3615.0,9.0,242.0,358.0,19.9,1.74,2,8,1,,HDMI 1.4b,есть,,,NTSC 45%,45,,,,,,,0,0.0,HP,250 G8,False,True,,Intel,False,,False,SD,WI-FI 4 (802.11n), Bluetooth 4.0,,1.0
4.5,117,99.19,27999,27999,12,ноутбук,81W101CERK,2020,без ОС,False,серый,пластик,пластик,стандартный тачпад,False,False,IPS,15.6,Full HD (1920x1080),матовое,False,60.0,250.0,141.0,нет,3020e,2.0,2,0,2,1.2,2.6,DDR4,4,2400.0,AMD Radeon Graphics,,256,0,0,0.3,"SD, MMC",False,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,False,Li-Pol,35.0,,253.4,362.2,19.9,1.85,1,8,нет,,HDMI 1.4b,есть,PCIe,,,65,,,,,,,0,0.0,Lenovo,IdeaPad 3 15ADA05,False,True,,AMD,False,,True,SD,WI-FI 5 (802.11ac), Bluetooth 5.0,,
5.0,2,99.83,27999,27999,12,ноутбук,81WQ00EMRK,2021,без ОС,False,серый,пластик,пластик,стандартный тачпад,False,False,TN,15.6,HD (1366x768),матовое,False,60.0,220.0,100.0,нет,Celeron N4020,2.0,2,0,2,1.1,2.8,DDR4,4,2400.0,Intel UHD Graphics 600,,256,0,0,0.3,"SD, MMC",False,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,,нет,False,Li-Pol,35.0,14.0,253.4,362.2,19.9,1.7,интегрированная,4,нет,,HDMI 1.4b,есть,PCIe,,NTSC 45%,45,,,,,,,0,0.0,Lenovo,IdeaPad 3 15IGL05,False,True,,Intel,False,,True,SD,WI-FI 5 (802.11ac), Bluetooth 5.0,,
4.5,8,99.46,27999,27999,12,ноутбук,82C7008QRU,2021,без ОС,False,серый,пластик,пластик,стандартный тачпад,False,False,TN,15.6,Full HD (1920x1080),матовое,False,60.0,220.0,141.0,нет,Athlon Silver 3050U,2.0,2,0,2,2.3,3.2,DDR4,4,2400.0,AMD Radeon Graphics,,128,0,0,0.3,"SD, MMC",False,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,False,Li-Pol,35.0,6.0,251.5,362.2,19.9,1.85,интегрированная + 1 слот,12,1,,HDMI 1.4b,есть,PCIe,,,65,,,,,,,0,0.0,Lenovo,V15 ADA,False,True,,AMD,False,,True,SD,WI-FI 5 (802.11ac), Bluetooth 5.0,,
5.0,1,100.0,27999,27999,12,ноутбук,82C3008JRU,2021,без ОС,False,серый,пластик,пластик,стандартный тачпад,False,False,TN,15.6,HD (1366x768),матовое,False,60.0,220.0,100.0,нет,Celeron N4120,4.0,4,0,4,1.1,2.6,DDR4,4,2400.0,Intel UHD Graphics 600,,0,1000,0,0.3,"SD, MMC",False,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,False,Li-Pol,35.0,6.0,251.5,362.2,19.9,1.85,интегрированная,4,нет,,HDMI 1.4b,есть,,,,45,,,,,,,0,0.0,Lenovo,V15 IGL,False,True,,Intel,False,,True,SD,WI-FI 5 (802.11ac), Bluetooth 5.0,,
4.5,43,99.64,27999,27999,12,ноутбук,82C30026RU,2021,без ОС,False,серый,пластик,пластик,стандартный тачпад,False,False,TN,15.6,Full HD (1920x1080),матовое,False,60.0,220.0,141.0,нет,Celeron N4120,4.0,4,0,4,1.1,2.6,DDR4,4,2400.0,Intel UHD Graphics 600,,256,0,0,0.3,"SD, MMC",False,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,False,Li-Pol,35.0,6.0,251.5,362.2,19.9,1.85,интегрированная,4,нет,,HDMI 1.4b,есть,PCIe,,,45,,,,,,,0,0.0,Lenovo,V15-IGL,False,True,,Intel,False,,True,SD,WI-FI 5 (802.11ac), Bluetooth 5.0,,
0.0,0,100.0,28999,28999,0,ноутбук,90NB0Q15-M40360,2021,Windows 11 Home Single Language,False,черный,пластик,пластик,сенсорный NumPad,False,False,TN,14.0,HD (1366x768),матовое,False,60.0,200.0,112.0,нет,Pentium Silver N5030,4.0,4,0,4,1.1,3.1,DDR4,4,2666.0,Intel UHD Graphics 605,,0,0,128,1.0,microSD,False,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1",USB 3.2 Gen1,,нет,False,Li-Ion,42.0,,217.0,325.0,18.4,1.3,интегрированная,4,нет,,,,,12 мес.,NTSC 45%,,,,,,,,0,0.0,ASUS,Vivobook Go 14 E410MA-BV1521W,False,True,,Intel,False,,False,microSD,WI-FI 5 (802.11ac), Bluetooth 4.2,,
4.5,132,97.56,28999,28999,12,ноутбук,,2021,Windows 10 Pro,False,серебристый,алюминий,пластик,стандартный тачпад,False,False,IPS,15.6,Full HD (1920x1080),матовое,False,60.0,,141.0,нет,Celeron J4125,4.0,4,0,4,2.0,2.7,LPDDR4,8,2133.0,Intel UHD Graphics 600,,240,0,0,0.3,microSD,False,mini HDMI,3.5 мм jack (микрофон/аудио),USB 3.2 Gen1 x2,нет,нет,нет,False,Li-Ion,4500.0,6.0,240.0,380.0,20.0,2.0,интегрированная,8,нет,,HDMI 1.4,,,,NTSC 45%,,,,,,,,0,0.0,Echips,Envy,False,True,,Intel,False,,False,microSD,WI-FI 5 (802.11ac), Bluetooth 5.0,,
0.0,0,0.0,32999,29699,0,ноутбук,90NB0TT2-M00BM0,2021,Windows 11 Home Single Language,False,серебристый,пластик,пластик,стандартный тачпад,False,False,IPS,14.0,Full HD (1920x1080),матовое,False,60.0,250.0,157.0,нет,Pentium Gold 7505,2.0,2,0,4,2.0,3.5,DDR4,4,3200.0,Intel UHD Graphics,,128,0,0,0.3,microSD,False,HDMI,3.5 мм jack (микрофон/аудио),"USB 3.2 Gen1, USB 2.0 x2",USB 3.2 Gen1,,нет,False,Li-Ion,37.0,,216.0,325.4,19.9,1.6,интегрированная + 1 слот,20,1,нет,HDMI 1.4,,PCIe,12 мес.,NTSC 45%,45,,,,,,,3300,10.0,ASUS,Laptop 14 F415EA-EB1271W,False,True,,Intel,False,,False,microSD,WI-FI 5 (802.11ac), Bluetooth 4.1,,
